p/kPa	T/K	x1	y1
25.11	367.95	0.0491	0.0590
25.08	367.75	0.1004	0.1130
25.05	367.55	0.1599	0.1676
25.07	367.55	0.2216	0.2172
25.02	367.35	0.2589	0.2436
25.01	367.75	0.3307	0.2938
25.05	368.65	0.5425	0.4269
25.04	370.35	0.7144	0.5747
25.04	372.65	0.8553	0.7321
25.04	374.25	0.9241	0.8485
