p/kPa	T/K	x1	y1
97.49	410.25	0.0999	0.1294
99.10	410.05	0.2214	0.2564
97.80	408.65	0.4084	0.4111
98.31	409.15	0.5421	0.5168
98.27	411.05	0.8549	0.8078
