compound	T_min/K	T_max/K	A / ln kPa	B / ln kPa·K	C / K	D / 1/K	E	F	G
EtOH	159.05	514	66.39624472	-7122.3	0	0	-7.1424	2.89E-06	2
H2O	273.16	647.1	66.74124472	-7258.2	0	0	-7.3037	4.17E-06	2
