p/kPa	T/K	x1	y1
39.95	402.65	0.0776	0.0939
39.95	402.25	0.1444	0.1672
39.92	402.05	0.2017	0.2214
39.98	401.75	0.2702	0.2847
39.95	401.75	0.3340	0.3409
39.95	401.65	0.3885	0.3850
39.99	401.75	0.4581	0.4402
39.91	402.05	0.5283	0.4950
39.94	402.35	0.6273	0.5738
39.93	402.65	0.6994	0.6355
39.96	403.35	0.7587	0.6923
40.01	404.65	0.8829	0.8292
39.95	405.35	0.9438	0.9117
