p/kPa	T/K
9.98	363.95
11.52	367.65
14.39	373.55
25.01	389.25
25.95	390.25
39.91	403.35
40.05	403.55
52.5	412.45
60.41	417.15
78.21	426.25
89.63	431.25
100.05	435.35
