compound	T_min/K	T_max/K	A	B	C	D	p_c/kPa	T_c/K

EtOH	97.64866	514.5565	-8.403555	0.3306437	-3.666958	-0.1357132	6226.28248	514.5565
H2O	240	647.1081	-7.898313	1.997515	-2.448405	-1.880206	22071.54985	647.1081
