p/kPa	T/K	x1	y1
10.02	344.45	0.0490	0.0549
9.9 	344.25	0.1002	0.1032
9.97	344.35	0.1600	0.1508
9.96	344.25	0.1748	0.1614
10.02	344.65	0.2218	0.1930
9.99	344.75	0.3306	0.2562
9.92	345.85	0.5418	0.3764
9.94	348.25	0.7155	0.5104
9.97	350.95	0.8544	0.6727
9.91	352.85	0.9271	0.8066
