p/kPa	T/K	x1	y1
32.86	335.16	0.063	0.356
32.86	332.54	0.104	0.463
32.86	330.96	0.15	0.494
32.86	329.26	0.248	0.556
32.86	326.77	0.454	0.662
32.86	326.1	0.581	0.696
32.86	325.89	0.657	0.732
32.86	325.67	0.76	0.792
32.86	325.53	0.839	0.85
32.86	325.51	0.854	0.868
32.86	325.46	0.913	0.913
32.86	325.43	0.931	0.931
32.86	325.42	0.932	0.934
32.86	325.45	0.965	0.963
