p/kPa	T/K	x1	y1
98.85	433.15	0.1446	0.1771
99.95	432.25	0.3332	0.3692
99.32	431.35	0.5779	0.5779
100.33	432.45	0.7580	0.7394
100.83	433.05	0.8828	0.8630
