p/kPa	T/K	x1	y1
9.95	363.65	0.0771	0.0851
9.97	363.35	0.1450	0.1485
9.95	363.45	0.1982	0.1938
9.99	363.75	0.2681	0.2446
9.95	363.95	0.3343	0.2892
9.96	364.15	0.3858	0.3256
9.92	364.35	0.4564	0.3721
9.93	364.85	0.5281	0.4144
9.92	365.65	0.6261	0.4853
9.92	366.15	0.6998	0.5449
9.91	366.85	0.7586	0.6010
9.95	369.25	0.8826	0.7530
9.98	370.95	0.9437	0.8681
