p/kPa	T/K
8.72	353.15
9.96	355.75
11.77	359.25
14.57	363.75
16.99	367.15
25.04	376.25
26.09	377.25
39.99	387.75
53.71	395.65
66.12	401.25
82.45	407.75
98.15	412.85
