p/kPa	T/K	x1	y1
39.94	381.45	0.0490	0.0609
39.95	381.15	0.1002	0.1175
39.92	380.85	0.2215	0.2301
40.04	380.65	0.2586	0.2596
40.09	380.75	0.2839	0.2784
39.99	380.85	0.3304	0.3133
39.99	381.45	0.5422	0.4545
40.03	383.15	0.7146	0.6051
39.97	384.75	0.8562	0.7612
40.01	386.15	0.9214	0.8665
