p/kPa	T/K	x1	y1
24.97	388.55	0.0766	0.0913
25.02	388.25	0.1447	0.1613
24.99	388.05	0.2010	0.2127
25.02	387.95	0.2688	0.2717
24.99	388.05	0.3340	0.3241
25.01	388.05	0.3884	0.3655
24.92	388.25	0.4586	0.4179
24.98	388.55	0.5282	0.4678
24.95	389.05	0.6267	0.5444
25.00	389.35	0.6993	0.6031
24.92	390.05	0.7588	0.6622
24.94	391.65	0.8825	0.8020
24.99	392.75	0.9446	0.8976
